lottoDateTh,lottoDateEn,drawNumber,drawType
25371116,19941116,82,6
25371201,19941201,6832681,1
25371201,19941201,342,2
25371201,19941201,923,3
25371201,19941201,448,4
25371201,19941201,043,5
25371201,19941201,02,6
25371216,19941216,5100040,1
25371216,19941216,654,2
25371216,19941216,129,3
25371216,19941216,766,4
25371216,19941216,544,5
25371216,19941216,50,6
25371230,19941230,6284069,1
25371230,19941230,798,2
25371230,19941230,713,3
25371230,19941230,339,4
25371230,19941230,744,5
25371230,19941230,90,6
25380116,19950116,0922388,1
25380116,19950116,186,2
25380116,19950116,667,3
25380116,19950116,253,4
25380116,19950116,002,5
25380116,19950116,40,6
25380201,19950201,0198162,1
25380201,19950201,195,2
25380201,19950201,087,3
25380201,19950201,805,4
25380201,19950201,574,5
25380201,19950201,48,6
25380216,19950216,0869070,1
25380216,19950216,828,2
25380216,19950216,597,3
25380216,19950216,462,4
25380216,19950216,126,5
25380216,19950216,95,6
25380301,19950301,0411454,1
25380301,19950301,034,2
25380301,19950301,019,3
25380301,19950301,022,4
25380301,19950301,152,5
25380301,19950301,71,6
25380316,19950316,0646847,1
25380316,19950316,225,2
25380316,19950316,044,3
25380316,19950316,091,4
25380316,19950316,220,5
25380316,19950316,67,6
25380401,19950401,0427039,1
25380401,19950401,254,2
25380401,19950401,926,3
25380401,19950401,674,4
25380401,19950401,978,5
25380401,19950401,06,6
25380416,19950416,0053581,1
25380416,19950416,560,2
25380416,19950416,968,3
25380416,19950416,681,4
25380416,19950416,376,5
25380416,19950416,99,6
25380502,19950502,0504692,1
25380502,19950502,304,2
25380502,19950502,886,3
25380502,19950502,268,4
25380502,19950502,273,5
25380502,19950502,88,6
25380517,19950517,0220381,1
25380517,19950517,460,2
25380517,19950517,597,3
25380517,19950517,511,4
25380517,19950517,488,5
25380517,19950517,55,6
25380601,19950601,0105615,1
25380601,19950601,374,2
25380601,19950601,735,3
25380601,19950601,168,4
25380601,19950601,688,5
25380601,19950601,17,6
25380616,19950616,0046698,1
25380616,19950616,678,2
25380616,19950616,785,3
25380616,19950616,507,4
25380616,19950616,393,5
25380616,19950616,82,6
25380701,19950701,0939901,1
25380701,19950701,428,2
25380701,19950701,940,3
25380701,19950701,667,4
25380701,19950701,879,5
25380701,19950701,19,6
25380716,19950716,0248122,1
25380716,19950716,571,2
25380716,19950716,085,3
25380716,19950716,303,4
25380716,19950716,758,5
25380716,19950716,96,6
25380801,19950801,0464819,1
25380801,19950801,070,2
25380801,19950801,274,3
25380801,19950801,669,4
25380801,19950801,293,5
25380801,19950801,59,6
25380816,19950816,0265333,1
25380816,19950816,235,2
25380816,19950816,455,3
25380816,19950816,618,4
25380816,19950816,342,5
25380816,19950816,51,6
25380901,19950901,0620837,1
25380901,19950901,693,2
25380901,19950901,872,3
25380901,19950901,255,4
25380901,19950901,644,5
25380901,19950901,83,6
25380916,19950916,0876454,1
25380916,19950916,558,2
25380916,19950916,297,3
25380916,19950916,582,4
25380916,19950916,802,5
25380916,19950916,51,6
25381001,19951001,0317092,1
25381001,19951001,139,2
25381001,19951001,819,3
25381001,19951001,088,4
25381001,19951001,296,5
25381001,19951001,76,6
25381016,19951016,0322154,1
25381016,19951016,924,2
25381016,19951016,192,3
25381016,19951016,716,4
25381016,19951016,233,5
25381016,19951016,86,6
25381101,19951101,0282069,1
25381101,19951101,962,2
25381101,19951101,564,3
25381101,19951101,194,4
25381101,19951101,393,5
25381101,19951101,07,6
25381116,19951116,0239422,1
25381116,19951116,078,2
25381116,19951116,883,3
25381116,19951116,776,4
25381116,19951116,756,5
25381116,19951116,85,6
25381201,19951201,0714426,1
25381201,19951201,516,2
25381201,19951201,427,3
25381201,19951201,387,4
25381201,19951201,073,5
25381201,19951201,74,6
25381216,19951216,0952808,1
25381216,19951216,732,2
25381216,19951216,540,3
25381216,19951216,639,4
25381216,19951216,064,5
25381216,19951216,68,6
25381230,19951230,0327686,1
25381230,19951230,748,2
25381230,19951230,456,3
25381230,19951230,145,4
25381230,19951230,928,5
25381230,19951230,04,6
25390116,19960116,0318302,1
25390116,19960116,882,2
25390116,19960116,444,3
25390116,19960116,661,4
25390116,19960116,971,5
25390116,19960116,21,6
25390201,19960201,0256556,1
25390201,19960201,906,2
25390201,19960201,705,3
25390201,19960201,549,4
25390201,19960201,994,5
25390201,19960201,26,6
25390216,19960216,0681455,1
25390216,19960216,977,2
25390216,19960216,664,3
25390216,19960216,428,4
25390216,19960216,779,5
25390216,19960216,49,6
25390301,19960301,0304855,1
25390301,19960301,760,2
25390301,19960301,664,3
25390301,19960301,443,4
25390301,19960301,945,5
25390301,19960301,72,6
25390316,19960316,0019128,1
25390316,19960316,673,2
25390316,19960316,796,3
25390316,19960316,694,4
25390316,19960316,526,5
25390316,19960316,27,6
25390401,19960401,0660765,1
25390401,19960401,701,2
25390401,19960401,338,3
25390401,19960401,839,4
25390401,19960401,278,5
25390401,19960401,90,6
25390416,19960416,0049584,1
25390416,19960416,435,2
25390416,19960416,222,3
25390416,19960416,155,4
25390416,19960416,052,5
25390416,19960416,77,6
25390502,19960502,0247351,1
25390502,19960502,175,2
25390502,19960502,234,3
25390502,19960502,661,4
25390502,19960502,978,5
25390502,19960502,54,6
25390517,19960517,0978140,1
25390517,19960517,321,2
25390517,19960517,443,3
25390517,19960517,718,4
25390517,19960517,523,5
25390517,19960517,75,6
25390601,19960601,0869656,1
25390601,19960601,422,2
25390601,19960601,126,3
25390601,19960601,961,4
25390601,19960601,584,5
25390601,19960601,81,6
25390616,19960616,0318311,1
25390616,19960616,649,2
25390616,19960616,118,3
25390616,19960616,735,4
25390616,19960616,916,5
25390616,19960616,21,6
25390701,19960701,0625379,1
25390701,19960701,666,2
25390701,19960701,298,3
25390701,19960701,094,4
25390701,19960701,543,5
25390701,19960701,76,6
25390716,19960716,0332687,1
25390716,19960716,771,2
25390716,19960716,547,3
25390716,19960716,281,4
25390716,19960716,010,5
25390716,19960716,91,6
25390801,19960801,0151091,1
25390801,19960801,646,2
25390801,19960801,650,3
25390801,19960801,833,4
25390801,19960801,669,5
